"Date","Monthly amount of total sterling total repayments of secured lending by individuals (in sterling millions) seasonally adjusted              [a] [b]             LPMB86L"
"31 Jul 02","12169"
"30 Jun 02","12160"
"31 May 02","12033"
"30 Apr 02","11648"
"31 Mar 02","11749"
"28 Feb 02","11192"
"31 Jan 02","10710"
"31 Dec 01","10351"
"30 Nov 01","10021"
"31 Oct 01","9881"
"30 Sep 01","9648"
"31 Aug 01","9634"
"31 Jul 01","9508"
"30 Jun 01","9308"
"31 May 01","8959"
"30 Apr 01","8757"
"31 Mar 01","8354"
"28 Feb 01","8218"
"31 Jan 01","7887"
"31 Dec 00","7848"
"30 Nov 00","7041"
"31 Oct 00","7005"
"30 Sep 00","6884"
"31 Aug 00","6725"
"31 Jul 00","7020"
"30 Jun 00","6737"
"31 May 00","6837"
"30 Apr 00","7076"
"31 Mar 00","6625"
"29 Feb 00","6580"
"31 Jan 00","6496"
"31 Dec 99","6869"
"30 Nov 99","7474"
"31 Oct 99","7127"
"30 Sep 99","6962"
"31 Aug 99","7141"
"31 Jul 99","7002"
"30 Jun 99","6955"
"31 May 99","6588"
"30 Apr 99","6364"
"31 Mar 99","6107"
"28 Feb 99","5391"
"31 Jan 99","5322"
