"Title","Gross domestic product (Average) per head, CVM market prices: SA"
"CDID","IHXW"
"Source dataset ID","PN2"
"PreUnit",""
"Unit","£"
"Release date","15-11-2022"
"Next release","22 December 2022"
"Important notes",
"1999 Q3","6692"
"1999 Q4","6784"
"2000 Q1","6856"
"2000 Q2","6896"
"2000 Q3","6924"
"2000 Q4","6947"
"2001 Q1","7000"
"2001 Q2","7019"
"2001 Q3","7043"
"2001 Q4","7047"
"2002 Q1","7064"
"2002 Q2","7094"
"2002 Q3","7137"
"2002 Q4","7189"
"2003 Q1","7226"
"2003 Q2","7280"
"2003 Q3","7342"
"2003 Q4","7389"
"2004 Q1","7412"
"2004 Q2","7442"
"2004 Q3","7445"
"2004 Q4","7454"
"2005 Q1","7496"
"2005 Q2","7552"
"2005 Q3","7604"
"2005 Q4","7670"
"2006 Q1","7684"
"2006 Q2","7689"
"2006 Q3","7684"
"2006 Q4","7702"
"2007 Q1","7767"
"2007 Q2","7802"
"2007 Q3","7845"
"2007 Q4","7881"
"2008 Q1","7903"
"2008 Q2","7849"
"2008 Q3","7717"
"2008 Q4","7531"
"2009 Q1","7372"
"2009 Q2","7338"
"2009 Q3","7333"
"2009 Q4","7343"
"2010 Q1","7398"
"2010 Q2","7468"
"2010 Q3","7500"
"2010 Q4","7494"
"2011 Q1","7498"
"2011 Q2","7486"
"2011 Q3","7485"
"2011 Q4","7470"
"2012 Q1","7520"
"2012 Q2","7503"
"2012 Q3","7584"
"2012 Q4","7565"
"2013 Q1","7570"
"2013 Q2","7610"
"2013 Q3","7652"
"2013 Q4","7687"
"2014 Q1","7744"
"2014 Q2","7797"
"2014 Q3","7841"
"2014 Q4","7876"
"2015 Q1","7893"
"2015 Q2","7927"
"2015 Q3","7945"
"2015 Q4","7987"
"2016 Q1","8000"
"2016 Q2","8034"
"2016 Q3","8057"
"2016 Q4","8098"
"2017 Q1","8145"
"2017 Q2","8177"
"2017 Q3","8207"
"2017 Q4","8246"
"2018 Q1","8246"
"2018 Q2","8271"
"2018 Q3","8306"
"2018 Q4","8316"
"2019 Q1","8357"
"2019 Q2","8355"
"2019 Q3","8397"
"2019 Q4","8386"
"2020 Q1","8156"
"2020 Q2","6437"
"2020 Q3","7498"
"2020 Q4","7582"
"2021 Q1","7486"
"2021 Q2","7967"
"2021 Q3","8101"
"2021 Q4","8225"
"2022 Q1","8274"
"2022 Q2","8286"
"2022 Q3","8265"
